riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7306710-?	1E-287	-	NR	-	-	-	HMGA2,MIR6074	Height	"body height"	-	GCST007841	12:65982311	30595370	"Kichaev G"
rs2870784-?	3E-21	-	NR	-	-	-	RNA5SP362,LLPH	Height	"body height"	-	GCST007841	12:66088600	30595370	"Kichaev G"
rs2870933-?	2E-8	-	NR	-	-	-	LINC02408	Height	"body height"	-	GCST007841	12:67460566	30595370	"Kichaev G"
rs77105239-?	1E-16	-	NR	-	-	-	RAP1B	Height	"body height"	-	GCST007841	12:68643918	30595370	"Kichaev G"
rs11615712-?	6E-21	-	NR	-	-	-	CPM,CPSF6	Height	"body height"	-	GCST007841	12:69225956	30595370	"Kichaev G"
rs10878984-?	4E-103	-	NR	-	-	-	LINC02373,RPS26P45	Height	"body height"	-	GCST007841	12:69434754	30595370	"Kichaev G"
rs149518362-?	8E-9	-	NR	-	-	-	FRS2	Height	"body height"	-	GCST007841	12:69536703	30595370	"Kichaev G"
rs118190591-?	9E-9	-	NR	-	-	-	MYRFL	Height	"body height"	-	GCST007841	12:69842575	30595370	"Kichaev G"
rs11049204-?	6E-23	-	NR	-	-	-	PTHLH,RN7SKP15	Height	"body height"	-	GCST007841	12:27860630	30595370	"Kichaev G"
rs1272192-?	5E-14	-	NR	-	-	-	PTHLH	Height	"body height"	-	GCST007841	12:27960649	30595370	"Kichaev G"
rs146046988-?	1E-9	-	NR	-	-	-	CCDC91	Height	"body height"	-	GCST007841	12:28184134	30595370	"Kichaev G"
rs1511550-?	3E-114	-	NR	-	-	-	CCDC91	Height	"body height"	-	GCST007841	12:28484182	30595370	"Kichaev G"
rs118181489-?	5E-25	-	NR	-	-	-	CCDC91	Height	"body height"	-	GCST007841	12:28573374	30595370	"Kichaev G"
rs753013-?	2E-19	-	NR	-	-	-	FAR2,CCDC91	Height	"body height"	-	GCST007841	12:28899977	30595370	"Kichaev G"
rs7135789-?	1E-12	-	NR	-	-	-	CCDC91,FAR2	Height	"body height"	-	GCST007841	12:29014556	30595370	"Kichaev G"
rs1156242-?	1E-33	-	NR	-	-	-	ERGIC2	Height	"body height"	-	GCST007841	12:29371024	30595370	"Kichaev G"
rs2289300-?	5E-12	-	NR	-	-	-	IPO8	Height	"body height"	-	GCST007841	12:30632251	30595370	"Kichaev G"
rs7974437-?	5E-15	-	NR	-	-	-	DENND5B	Height	"body height"	-	GCST007841	12:31582763	30595370	"Kichaev G"
rs61933589-?	1E-10	-	NR	-	-	-	AK6P1,ZNF970P	Height	"body height"	-	GCST007841	12:34506100	30595370	"Kichaev G"
rs12369123-?	3E-8	-	NR	-	-	-	EEF1A1P17,ADAMTS20	Height	"body height"	-	GCST007841	12:43574970	30595370	"Kichaev G"
rs6582586-?	5E-10	-	NR	-	-	-	SLC38A1,RPL13AP21	Height	"body height"	-	GCST007841	12:46022959	30595370	"Kichaev G"
rs2131371-?	4E-37	-	NR	-	-	-	SLC38A4-AS1	Height	"body height"	-	GCST007841	12:46402739	30595370	"Kichaev G"
rs117498071-?	3E-9	-	NR	-	-	-	SLC38A4-AS1	Height	"body height"	-	GCST007841	12:46688315	30595370	"Kichaev G"
rs145432915-?	1E-8	-	NR	-	-	-	SLC38A4-AS1,SLC38A4	Height	"body height"	-	GCST007841	12:46775579	30595370	"Kichaev G"
rs79936652-?	5E-20	-	NR	-	-	-	AMIGO2,SLC38A4-AS1	Height	"body height"	-	GCST007841	12:46923468	30595370	"Kichaev G"
rs145242567-?	8E-9	-	NR	-	-	-	PCED1B	Height	"body height"	-	GCST007841	12:47197113	30595370	"Kichaev G"
rs145878042-?	7E-15	-	NR	-	-	-	RAPGEF3	Height	"body height"	-	GCST007841	12:47749532	30595370	"Kichaev G"
rs55744743-?	5E-21	-	NR	-	-	-	COL2A1	Height	"body height"	-	GCST007841	12:47983973	30595370	"Kichaev G"
rs10875849-?	8E-10	-	NR	-	-	-	LALBA,OR11M1P	Height	"body height"	-	GCST007841	12:48626346	30595370	"Kichaev G"
rs118115924-?	1E-15	-	NR	-	-	-	WNT1,DDN	Height	"body height"	-	GCST007841	12:48985754	30595370	"Kichaev G"
rs9669354-?	3E-23	-	NR	-	-	-	LIMA1,FAM186A	Height	"body height"	-	GCST007841	12:50321469	30595370	"Kichaev G"
rs73109050-?	5E-10	-	NR	-	-	-	SMAGP,DAZAP2	Height	"body height"	-	GCST007841	12:51265806	30595370	"Kichaev G"
rs11170394-?	2E-19	-	NR	-	-	-	SPRYD3	Height	"body height"	-	GCST007841	12:53070188	30595370	"Kichaev G"
rs13313261-?	2E-8	-	NR	-	-	-	ZDHHC20P4,LINC02342	Height	"body height"	-	GCST007841	13:68899187	30595370	"Kichaev G"
rs2061543-?	4E-8	-	NR	-	-	-	RPS10P21,DACH1	Height	"body height"	-	GCST007841	13:71906742	30595370	"Kichaev G"
rs12584892-?	9E-17	-	NR	-	-	-	KLF5,PSMD10P3	Height	"body height"	-	GCST007841	13:73050396	30595370	"Kichaev G"
rs61967422-?	1E-11	-	NR	-	-	-	RNU6-66P,RNU4-10P	Height	"body height"	-	GCST007841	13:73147462	30595370	"Kichaev G"
rs9543310-?	1E-15	-	NR	-	-	-	RNY1P8,MARK2P12	Height	"body height"	-	GCST007841	13:73285821	30595370	"Kichaev G"
rs4454843-?	5E-9	-	NR	-	-	-	KLF12	Height	"body height"	-	GCST007841	13:73974964	30595370	"Kichaev G"
rs9318373-?	2E-8	-	NR	-	-	-	LMO7	Height	"body height"	-	GCST007841	13:75789585	30595370	"Kichaev G"
rs3818416-?	1E-14	-	NR	-	-	-	EDNRB	Height	"body height"	-	GCST007841	13:77900333	30595370	"Kichaev G"
rs9574556-?	1E-16	-	NR	-	-	-	LINC01080,SPRY2	Height	"body height"	-	GCST007841	13:80072231	30595370	"Kichaev G"
rs390195-?	2E-13	-	NR	-	-	-	SPRY2,LINC01080	Height	"body height"	-	GCST007841	13:80244281	30595370	"Kichaev G"
rs4278628-?	3E-10	-	NR	-	-	-	ARF4P4,LINC00377	Height	"body height"	-	GCST007841	13:80919963	30595370	"Kichaev G"
rs7337175-?	1E-18	-	NR	-	-	-	LINC00351,LINC00375	Height	"body height"	-	GCST007841	13:85362116	30595370	"Kichaev G"
rs287527-?	2E-13	-	NR	-	-	-	LINC00379,PPIAP23	Height	"body height"	-	GCST007841	13:91145297	30595370	"Kichaev G"
rs7319045-?	3E-63	-	NR	-	-	-	MIR17HG	Height	"body height"	-	GCST007841	13:91372320	30595370	"Kichaev G"
rs7318247-?	4E-12	-	NR	-	-	-	HS6ST3	Height	"body height"	-	GCST007841	13:96162202	30595370	"Kichaev G"
rs61969407-?	4E-9	-	NR	-	-	-	STK24	Height	"body height"	-	GCST007841	13:98466906	30595370	"Kichaev G"
rs12875139-?	2E-21	-	NR	-	-	-	DOCK9	Height	"body height"	-	GCST007841	13:98865668	30595370	"Kichaev G"
rs9300607-?	6E-12	-	NR	-	-	-	GGACT	Height	"body height"	-	GCST007841	13:100571205	30595370	"Kichaev G"
rs8922-?	8E-12	-	NR	-	-	-	NALCN,NALCN-AS1	Height	"body height"	-	GCST007841	13:101053841	30595370	"Kichaev G"
rs933089-?	1E-8	-	NR	-	-	-	NALCN,ITGBL1	Height	"body height"	-	GCST007841	13:101447688	30595370	"Kichaev G"
rs3024739-?	3E-11	-	NR	-	-	-	PROZ	Height	"body height"	-	GCST007841	13:113165634	30595370	"Kichaev G"
rs8002514-?	3E-42	-	NR	-	-	-	CDC16	Height	"body height"	-	GCST007841	13:114236830	30595370	"Kichaev G"
rs8019890-?	2E-39	-	NR	-	-	-	NDRG2	Height	"body height"	-	GCST007841	14:21069908	30595370	"Kichaev G"
rs28663442-?	3E-35	-	NR	-	-	-	CHD8	Height	"body height"	-	GCST007841	14:21453066	30595370	"Kichaev G"
rs17880989-?	5E-15	-	NR	-	-	-	MMP14	Height	"body height"	-	GCST007841	14:22844424	30595370	"Kichaev G"
rs10467747-?	2E-31	-	NR	-	-	-	TC2N	Height	"body height"	-	GCST007841	14:91858114	30595370	"Kichaev G"
rs10129429-?	4E-80	-	NR	-	-	-	TRIP11,FBLN5	Height	"body height"	-	GCST007841	14:91964487	30595370	"Kichaev G"
rs78598185-?	5E-8	-	NR	-	-	-	SLC24A4	Height	"body height"	-	GCST007841	14:92325135	30595370	"Kichaev G"
rs7156335-?	2E-28	-	NR	-	-	-	ITPK1	Height	"body height"	-	GCST007841	14:92939887	30595370	"Kichaev G"
rs72706424-?	1E-10	-	NR	-	-	-	ITPK1	Height	"body height"	-	GCST007841	14:93056240	30595370	"Kichaev G"
rs10132476-?	3E-9	-	NR	-	-	-	CCDC197	Height	"body height"	-	GCST007841	14:94001945	30595370	"Kichaev G"
rs28929474-?	3E-120	-	NR	-	-	-	SERPINA1	Height	"body height"	-	GCST007841	14:94378610	30595370	"Kichaev G"
rs17091116-?	9E-10	-	NR	-	-	-	SERPINA5	Height	"body height"	-	GCST007841	14:94585537	30595370	"Kichaev G"
rs8009743-?	4E-8	-	NR	-	-	-	RPSAP4,SERPINA13P	Height	"body height"	-	GCST007841	14:94720411	30595370	"Kichaev G"
rs10146757-?	3E-11	-	NR	-	-	-	DICER1,LINC02279	Height	"body height"	-	GCST007841	14:95073400	30595370	"Kichaev G"
rs8022455-?	2E-8	-	NR	-	-	-	LINC02914,RN7SL714P	Height	"body height"	-	GCST007841	14:98417197	30595370	"Kichaev G"
rs4905875-?	4E-9	-	NR	-	-	-	HHIPL1,CCDC85C	Height	"body height"	-	GCST007841	14:99644715	30595370	"Kichaev G"
rs78352137-?	8E-9	-	NR	-	-	-	WDR25	Height	"body height"	-	GCST007841	14:100454079	30595370	"Kichaev G"
rs3783350-?	1E-19	-	NR	-	-	-	DLK1	Height	"body height"	-	GCST007841	14:100732685	30595370	"Kichaev G"
rs67585357-?	4E-13	-	NR	-	-	-	MIR493HG,RTL1	Height	"body height"	-	GCST007841	14:100879977	30595370	"Kichaev G"
rs1955614-?	3E-8	-	NR	-	-	-	DIO3OS,LINC02320	Height	"body height"	-	GCST007841	14:101624585	30595370	"Kichaev G"
rs8007356-?	4E-29	-	NR	-	-	-	ANKRD9	Height	"body height"	-	GCST007841	14:102508929	30595370	"Kichaev G"
rs4900575-?	2E-56	-	NR	-	-	-	MARK3	Height	"body height"	-	GCST007841	14:103432832	30595370	"Kichaev G"
rs61759760-?	1E-14	-	NR	-	-	-	AKT1	Height	"body height"	-	GCST007841	14:104789850	30595370	"Kichaev G"
rs55633823-?	4E-22	-	NR	-	-	-	CRIP1	Height	"body height"	-	GCST007841	14:105488368	30595370	"Kichaev G"
rs58283628-?	4E-8	-	NR	-	-	-	PWRN4	Height	"body height"	-	GCST007841	15:23923265	30595370	"Kichaev G"
rs35216196-?	7E-9	-	NR	-	-	-	TMCO5A,Metazoa_SRP	Height	"body height"	-	GCST007841	15:37901033	30595370	"Kichaev G"
rs16966212-?	7E-14	-	NR	-	-	-	LINC01852,LINC02345	Height	"body height"	-	GCST007841	15:38068088	30595370	"Kichaev G"
rs970498-?	4E-22	-	NR	-	-	-	LINC02895	Height	"body height"	-	GCST007841	15:38189803	30595370	"Kichaev G"
rs11635385-?	7E-16	-	NR	-	-	-	FAM98B,SPRED1	Height	"body height"	-	GCST007841	15:38370003	30595370	"Kichaev G"
rs10769130-?	2E-16	-	NR	-	-	-	PRDM11	Height	"body height"	-	GCST007841	11:45230309	30595370	"Kichaev G"
rs939105-?	4E-16	-	NR	-	-	-	LARGE2	Height	"body height"	-	GCST007841	11:45927983	30595370	"Kichaev G"
rs79728014-?	2E-34	-	NR	-	-	-	PHF21A	Height	"body height"	-	GCST007841	11:46040694	30595370	"Kichaev G"
rs530803857-?	5E-11	-	NR	-	-	-	SPI1,SLC39A13-AS1	Height	"body height"	-	GCST007841	11:47400077	30595370	"Kichaev G"
rs34958982-?	6E-53	-	NR	-	-	-	CELF1	Height	"body height"	-	GCST007841	11:47525494	30595370	"Kichaev G"
rs112971726-?	4E-10	-	NR	-	-	-	PTPRJ,NUP160	Height	"body height"	-	GCST007841	11:47939369	30595370	"Kichaev G"
rs150151341-?	1E-14	-	NR	-	-	-	FOLH1	Height	"body height"	-	GCST007841	11:49146109	30595370	"Kichaev G"
rs10769601-?	6E-12	-	NR	-	-	-	GRM5P1	Height	"body height"	-	GCST007841	11:49660329	30595370	"Kichaev G"
rs77584654-?	5E-17	-	NR	-	-	-	OR4A12P,OR4A16	Height	"body height"	-	GCST007841	11:55327726	30595370	"Kichaev G"
rs2128133-?	8E-8	-	NR	-	-	-	OR8J1	Height	"body height"	-	GCST007841	11:56354581	30595370	"Kichaev G"
rs138396859-?	2E-9	-	NR	-	-	-	UBE2L6,RPS4XP13	Height	"body height"	-	GCST007841	11:57570263	30595370	"Kichaev G"
rs592785-?	4E-17	-	NR	-	-	-	OR5BA1P,OR5AZ1P	Height	"body height"	-	GCST007841	11:57899139	30595370	"Kichaev G"
rs11229575-?	1E-8	-	NR	-	-	-	GLYAT	Height	"body height"	-	GCST007841	11:58669855	30595370	"Kichaev G"
rs1938790-?	4E-8	-	NR	-	-	-	GLYATL1	Height	"body height"	-	GCST007841	11:58997448	30595370	"Kichaev G"
rs140003438-?	3E-9	-	NR	-	-	-	SLC25A47P1,WARS1P1	Height	"body height"	-	GCST007841	11:59261898	30595370	"Kichaev G"
rs17597065-?	6E-12	-	NR	-	-	-	TCN1,CBLIF	Height	"body height"	-	GCST007841	11:59848727	30595370	"Kichaev G"
rs620612-?	2E-8	-	NR	-	-	-	MS4A4A,MS4A4E	Height	"body height"	-	GCST007841	11:60224374	30595370	"Kichaev G"
rs603061-?	4E-10	-	NR	-	-	-	PGA5	Height	"body height"	-	GCST007841	11:61250856	30595370	"Kichaev G"
rs174544-?	3E-21	-	NR	-	-	-	FADS2,FADS1	Height	"body height"	-	GCST007841	11:61800281	30595370	"Kichaev G"
rs11231596-?	1E-8	-	NR	-	-	-	SPINDOC	Height	"body height"	-	GCST007841	11:63826750	30595370	"Kichaev G"
rs601310-?	3E-22	-	NR	-	-	-	POLA2	Height	"body height"	-	GCST007841	11:65272965	30595370	"Kichaev G"
rs754532-?	1E-17	-	NR	-	-	-	SART1	Height	"body height"	-	GCST007841	11:65979586	30595370	"Kichaev G"
rs679228-?	9E-10	-	NR	-	-	-	ACTN3	Height	"body height"	-	GCST007841	11:66556951	30595370	"Kichaev G"
rs7952436-?	4E-262	-	NR	-	-	-	KDM2A	Height	"body height"	-	GCST007841	11:67257063	30595370	"Kichaev G"
rs2066496-?	2E-11	-	NR	-	-	-	RAD9A	Height	"body height"	-	GCST007841	11:67393490	30595370	"Kichaev G"
rs4323860-?	2E-16	-	NR	-	-	-	SBF2	Height	"body height"	-	GCST007841	11:10138336	30595370	"Kichaev G"
rs3206824-?	1E-17	-	NR	-	-	-	DKK3	Height	"body height"	-	GCST007841	11:11964514	30595370	"Kichaev G"
rs11022463-?	5E-40	-	NR	-	-	-	PARVA,TEAD1	Height	"body height"	-	GCST007841	11:12663848	30595370	"Kichaev G"
rs4353253-?	6E-19	-	NR	-	-	-	BMAL1	Height	"body height"	-	GCST007841	11:13288716	30595370	"Kichaev G"
rs1969539-?	1E-8	-	NR	-	-	-	SPON1	Height	"body height"	-	GCST007841	11:14017074	30595370	"Kichaev G"
rs11606692-?	1E-12	-	NR	-	-	-	RRAS2	Height	"body height"	-	GCST007841	11:14350515	30595370	"Kichaev G"
rs117247884-?	1E-10	-	NR	-	-	-	PDE3B	Height	"body height"	-	GCST007841	11:14708310	30595370	"Kichaev G"
rs61885960-?	7E-30	-	NR	-	-	-	PDE3B	Height	"body height"	-	GCST007841	11:14798282	30595370	"Kichaev G"
rs1455115-?	6E-8	-	NR	-	-	-	SOX6	Height	"body height"	-	GCST007841	11:16193995	30595370	"Kichaev G"
rs2052188-?	2E-27	-	NR	-	-	-	PIK3C2A	Height	"body height"	-	GCST007841	11:17105123	30595370	"Kichaev G"
rs77889556-?	1E-9	-	NR	-	-	-	ABCC8	Height	"body height"	-	GCST007841	11:17476510	30595370	"Kichaev G"
rs6486406-?	3E-14	-	NR	-	-	-	SAAL1	Height	"body height"	-	GCST007841	11:18084324	30595370	"Kichaev G"
rs7943847-?	1E-13	-	NR	-	-	-	GTF2H1,MIR3159	Height	"body height"	-	GCST007841	11:18378967	30595370	"Kichaev G"
rs11024743-?	1E-33	-	NR	-	-	-	SPTY2D1	Height	"body height"	-	GCST007841	11:18632165	30595370	"Kichaev G"
rs35081743-?	5E-13	-	NR	-	-	-	DBX1,HTATIP2	Height	"body height"	-	GCST007841	11:20197800	30595370	"Kichaev G"
rs4922771-?	4E-8	-	NR	-	-	-	FIBIN,SLC5A12	Height	"body height"	-	GCST007841	11:26753266	30595370	"Kichaev G"
rs138273386-?	5E-11	-	NR	-	-	-	FIBIN	Height	"body height"	-	GCST007841	11:26994813	30595370	"Kichaev G"
rs12577283-?	6E-11	-	NR	-	-	-	METTL15	Height	"body height"	-	GCST007841	11:28490049	30595370	"Kichaev G"
rs7928703-?	8E-13	-	NR	-	-	-	LINC02742	Height	"body height"	-	GCST007841	11:29059117	30595370	"Kichaev G"
rs704660-?	4E-29	-	NR	-	-	-	MPPED2	Height	"body height"	-	GCST007841	11:30426451	30595370	"Kichaev G"
rs6484504-?	4E-10	-	NR	-	-	-	DNAJC24	Height	"body height"	-	GCST007841	11:31403276	30595370	"Kichaev G"
rs201860-?	6E-8	-	NR	-	-	-	EIF3M	Height	"body height"	-	GCST007841	11:32595321	30595370	"Kichaev G"
rs112072415-?	2E-10	-	NR	-	-	-	CSTF3	Height	"body height"	-	GCST007841	11:33161497	30595370	"Kichaev G"
rs7129975-?	7E-15	-	NR	-	-	-	PAMR1	Height	"body height"	-	GCST007841	11:35461973	30595370	"Kichaev G"
rs3853291-?	4E-10	-	NR	-	-	-	RPL7AP79,ALX4	Height	"body height"	-	GCST007841	11:44347927	30595370	"Kichaev G"
rs2466120-?	4E-9	-	NR	-	-	-	TEKT5	Height	"body height"	-	GCST007841	16:10663112	30595370	"Kichaev G"
rs11075041-?	2E-8	-	NR	-	-	-	SNX29	Height	"body height"	-	GCST007841	16:12008930	30595370	"Kichaev G"
rs35020541-?	1E-9	-	NR	-	-	-	CPPED1,RPL35AP34	Height	"body height"	-	GCST007841	16:12812594	30595370	"Kichaev G"
rs246185-?	4E-50	-	NR	-	-	-	MIR193BHG	Height	"body height"	-	GCST007841	16:14301575	30595370	"Kichaev G"
rs1741-?	6E-22	-	NR	-	-	-	PDXDC1	Height	"body height"	-	GCST007841	16:15036494	30595370	"Kichaev G"
rs2175238-?	8E-9	-	NR	-	-	-	MIR3180-4,PLA2G10GP	Height	"body height"	-	GCST007841	16:15157749	30595370	"Kichaev G"
rs60782127-?	5E-17	-	NR	-	-	-	ABCC1	Height	"body height"	-	GCST007841	16:16048222	30595370	"Kichaev G"
rs138760312-?	3E-9	-	NR	-	-	-	ABCC6	Height	"body height"	-	GCST007841	16:16193782	30595370	"Kichaev G"
rs1051547-?	6E-13	-	NR	-	-	-	SYT17	Height	"body height"	-	GCST007841	16:19268058	30595370	"Kichaev G"
rs56100071-?	6E-8	-	NR	-	-	-	VPS35L	Height	"body height"	-	GCST007841	16:19698429	30595370	"Kichaev G"
rs35518073-?	1E-12	-	NR	-	-	-	ACSM3,THUMPD1	Height	"body height"	-	GCST007841	16:20728935	30595370	"Kichaev G"
rs76568292-?	1E-9	-	NR	-	-	-	EEF2K,POLR3E	Height	"body height"	-	GCST007841	16:22292932	30595370	"Kichaev G"
rs7195386-?	2E-13	-	NR	-	-	-	RBBP6	Height	"body height"	-	GCST007841	16:24567137	30595370	"Kichaev G"
rs12708665-?	1E-28	-	NR	-	-	-	TNRC6A	Height	"body height"	-	GCST007841	16:24716906	30595370	"Kichaev G"
rs4788218-?	3E-40	-	NR	-	-	-	TLCD3B	Height	"body height"	-	GCST007841	16:30044429	30595370	"Kichaev G"
rs148753960-?	1E-9	-	NR	-	-	-	STX4	Height	"body height"	-	GCST007841	16:31036501	30595370	"Kichaev G"
rs34214571-?	2E-8	-	NR	-	-	-	ZNF423	Height	"body height"	-	GCST007841	16:49637266	30595370	"Kichaev G"
rs933561-?	1E-18	-	NR	-	-	-	ZNF423	Height	"body height"	-	GCST007841	16:49840765	30595370	"Kichaev G"
rs2302759-?	9E-9	-	NR	-	-	-	CYLD	Height	"body height"	-	GCST007841	16:50793690	30595370	"Kichaev G"
rs138937927-?	5E-30	-	NR	-	-	-	LINC02127,SOD1P2	Height	"body height"	-	GCST007841	16:51061650	30595370	"Kichaev G"
rs28678518-?	3E-8	-	NR	-	-	-	SALL1,UNGP1	Height	"body height"	-	GCST007841	16:51238448	30595370	"Kichaev G"
rs12325489-?	1E-8	-	NR	-	-	-	CASC22	Height	"body height"	-	GCST007841	16:52273164	30595370	"Kichaev G"
rs7186520-?	1E-8	-	NR	-	-	-	CHD9	Height	"body height"	-	GCST007841	16:53144338	30595370	"Kichaev G"
rs17800727-?	1E-55	-	NR	-	-	-	RBL2	Height	"body height"	-	GCST007841	16:53447098	30595370	"Kichaev G"
rs4784463-?	2E-11	-	NR	-	-	-	MTND5P34,RN7SL841P	Height	"body height"	-	GCST007841	16:55035864	30595370	"Kichaev G"
rs7203984-?	7E-11	-	NR	-	-	-	CETP	Height	"body height"	-	GCST007841	16:56965346	30595370	"Kichaev G"
rs1532418-?	8E-8	-	NR	-	-	-	CDH11	Height	"body height"	-	GCST007841	16:65082336	30595370	"Kichaev G"
rs115599330-?	2E-10	-	NR	-	-	-	PHAF1	Height	"body height"	-	GCST007841	16:67110212	30595370	"Kichaev G"
rs13334364-?	2E-31	-	NR	-	-	-	KCTD19	Height	"body height"	-	GCST007841	16:67298462	30595370	"Kichaev G"
rs12448131-?	9E-8	-	NR	-	-	-	PSKH1,NRN1L	Height	"body height"	-	GCST007841	16:67890263	30595370	"Kichaev G"
rs1364344-?	2E-8	-	NR	-	-	-	SMPD3	Height	"body height"	-	GCST007841	16:68399142	30595370	"Kichaev G"
rs9940899-?	2E-21	-	NR	-	-	-	UTP4	Height	"body height"	-	GCST007841	16:69136024	30595370	"Kichaev G"
rs4985445-?	2E-47	-	NR	-	-	-	WWP2	Height	"body height"	-	GCST007841	16:69833932	30595370	"Kichaev G"
rs117649976-?	4E-16	-	NR	-	-	-	PDXDC2P,PDXDC2P-NPIPB14P	Height	"body height"	-	GCST007841	16:70029628	30595370	"Kichaev G"
rs191518756-?	3E-8	-	NR	-	-	-	DDX19B,DDX19A-DT	Height	"body height"	-	GCST007841	16:70327090	30595370	"Kichaev G"
rs146512116-?	5E-9	-	NR	-	-	-	COG4	Height	"body height"	-	GCST007841	16:70501590	30595370	"Kichaev G"
rs12935589-?	1E-10	-	NR	-	-	-	IL34	Height	"body height"	-	GCST007841	16:70657405	30595370	"Kichaev G"
rs142589036-?	3E-11	-	NR	-	-	-	DHX38	Height	"body height"	-	GCST007841	16:72107038	30595370	"Kichaev G"
rs56205630-?	2E-20	-	NR	-	-	-	LINC01572	Height	"body height"	-	GCST007841	16:72363018	30595370	"Kichaev G"
rs7204751-?	2E-16	-	NR	-	-	-	ZFHX3	Height	"body height"	-	GCST007841	16:73045784	30595370	"Kichaev G"
rs6564524-?	1E-23	-	NR	-	-	-	ZFHX3	Height	"body height"	-	GCST007841	16:73761105	30595370	"Kichaev G"
rs11645649-?	9E-25	-	NR	-	-	-	CTRB2,ZFP1	Height	"body height"	-	GCST007841	16:75177449	30595370	"Kichaev G"
rs12928036-?	1E-15	-	NR	-	-	-	TMEM170A	Height	"body height"	-	GCST007841	16:75449234	30595370	"Kichaev G"
rs60628344-?	2E-17	-	NR	-	-	-	WWOX,CLEC3A	Height	"body height"	-	GCST007841	16:78071906	30595370	"Kichaev G"
rs67003685-?	2E-20	-	NR	-	-	-	WWOX	Height	"body height"	-	GCST007841	16:78287802	30595370	"Kichaev G"
rs2738696-?	1E-8	-	NR	-	-	-	WWOX	Height	"body height"	-	GCST007841	16:78485014	30595370	"Kichaev G"
rs71398138-?	4E-15	-	NR	-	-	-	WWOX	Height	"body height"	-	GCST007841	16:79204666	30595370	"Kichaev G"
rs4493049-?	5E-9	-	NR	-	-	-	LINC01228,DYNLRB2-AS1	Height	"body height"	-	GCST007841	16:80012872	30595370	"Kichaev G"
rs62046625-?	7E-24	-	NR	-	-	-	CMIP	Height	"body height"	-	GCST007841	16:81545101	30595370	"Kichaev G"
rs34895689-?	1E-12	-	NR	-	-	-	CMIP	Height	"body height"	-	GCST007841	16:81688927	30595370	"Kichaev G"
rs11645045-?	5E-29	-	NR	-	-	-	MPHOSPH6	Height	"body height"	-	GCST007841	16:82168532	30595370	"Kichaev G"
rs4782862-?	3E-12	-	NR	-	-	-	MLYCD,OSGIN1	Height	"body height"	-	GCST007841	16:83947098	30595370	"Kichaev G"
rs62048856-?	2E-25	-	NR	-	-	-	USP10	Height	"body height"	-	GCST007841	16:84730885	30595370	"Kichaev G"
rs9941239-?	1E-29	-	NR	-	-	-	ZDHHC7,LINC02176	Height	"body height"	-	GCST007841	16:84954341	30595370	"Kichaev G"
rs8054322-?	2E-14	-	NR	-	-	-	LINC02139,GSE1	Height	"body height"	-	GCST007841	16:85167799	30595370	"Kichaev G"
rs8059189-?	6E-17	-	NR	-	-	-	FENDRR,LINC00917	Height	"body height"	-	GCST007841	16:86383743	30595370	"Kichaev G"
rs7197427-?	7E-10	-	NR	-	-	-	FLJ30679	Height	"body height"	-	GCST007841	16:86557285	30595370	"Kichaev G"
rs28594464-?	4E-15	-	NR	-	-	-	FOXL1,LINC02188	Height	"body height"	-	GCST007841	16:86671258	30595370	"Kichaev G"
rs17770752-?	4E-11	-	NR	-	-	-	C16orf95	Height	"body height"	-	GCST007841	16:87267354	30595370	"Kichaev G"
rs112898929-?	4E-10	-	NR	-	-	-	LINC02182,ZNF469	Height	"body height"	-	GCST007841	16:88265189	30595370	"Kichaev G"
rs78588220-?	2E-15	-	NR	-	-	-	ZNF469	Height	"body height"	-	GCST007841	16:88390762	30595370	"Kichaev G"
rs10775348-?	2E-53	-	NR	-	-	-	PIEZO1	Height	"body height"	-	GCST007841	16:88739940	30595370	"Kichaev G"
rs76493861-?	2E-9	-	NR	-	-	-	GALNS	Height	"body height"	-	GCST007841	16:88847009	30595370	"Kichaev G"
rs66682219-?	8E-13	-	NR	-	-	-	CDH15	Height	"body height"	-	GCST007841	16:89187202	30595370	"Kichaev G"
rs4785574-?	6E-21	-	NR	-	-	-	SPG7	Height	"body height"	-	GCST007841	16:89502467	30595370	"Kichaev G"
rs57856222-?	1E-40	-	NR	-	-	-	DPEP1	Height	"body height"	-	GCST007841	16:89615782	30595370	"Kichaev G"
rs79257300-?	3E-8	-	NR	-	-	-	VPS53	Height	"body height"	-	GCST007841	17:607506	30595370	"Kichaev G"
rs2663339-?	4E-15	-	NR	-	-	-	ABR	Height	"body height"	-	GCST007841	17:1024276	30595370	"Kichaev G"
rs118187252-?	9E-9	-	NR	-	-	-	YWHAE	Height	"body height"	-	GCST007841	17:1347326	30595370	"Kichaev G"
rs7502409-?	7E-11	-	NR	-	-	-	CRK	Height	"body height"	-	GCST007841	17:1453866	30595370	"Kichaev G"
rs59643265-?	1E-24	-	NR	-	-	-	WDR81	Height	"body height"	-	GCST007841	17:1727101	30595370	"Kichaev G"
rs16951879-?	3E-14	-	NR	-	-	-	SMG6	Height	"body height"	-	GCST007841	17:2066618	30595370	"Kichaev G"
rs111246591-?	3E-9	-	NR	-	-	-	MIR6776,CLUH	Height	"body height"	-	GCST007841	17:2692886	30595370	"Kichaev G"
