riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2030323-C	5E-17	(Overweight)	0.79	1.07	-	[NR]	BDNF	Obesity	obesity	-	GCST001953	11:27706992	23563607	"Berndt SI"
rs2568958-A	4E-16	(Overweight)	0.61	1.06	-	[NR]	NEGR1,RPL31P12	Obesity	obesity	-	GCST001953	1:72299433	23563607	"Berndt SI"
rs2206277-T	7E-16	(Overweight)	0.18	1.07	-	[NR]	TFAP2B	Obesity	obesity	-	GCST001953	6:50830813	23563607	"Berndt SI"
rs9816226-T	2E-14	(Overweight)	0.82	1.07	-	[NR]	DGKG	Obesity	obesity	-	GCST001953	3:186116710	23563607	"Berndt SI"
rs10182181-G	3E-14	(Overweight)	0.46	1.05	-	[NR]	ADCY3,DNAJC27	Obesity	obesity	-	GCST001953	2:24927427	23563607	"Berndt SI"
rs12446554-G	4E-12	(Overweight)	0.86	1.07	-	[NR]	GPRC5B,GPR139	Obesity	obesity	-	GCST001953	16:19923751	23563607	"Berndt SI"
rs7498665-G	5E-12	(Overweight)	0.4	1.05	-	[NR]	SH2B1	Obesity	obesity	-	GCST001953	16:28871920	23563607	"Berndt SI"
rs8028313-C	1E-11	(Overweight)	0.79	1.06	-	[NR]	MAP2K5	Obesity	obesity	-	GCST001953	15:67750719	23563607	"Berndt SI"
rs13078807-G	3E-11	(Overweight)	0.2	1.06	-	[NR]	CADM2	Obesity	obesity	-	GCST001953	3:85835000	23563607	"Berndt SI"
rs10875976-A	2E-10	(Overweight)	0.49	1.04	-	[NR]	BCDIN3D-AS1	Obesity	obesity	-	GCST001953	12:49832684	23563607	"Berndt SI"
rs6731302-A	2E-9	(Overweight)	0.44	1.04	-	[NR]	LINC01122	Obesity	obesity	-	GCST001953	2:58606358	23563607	"Berndt SI"
rs2370983-A	3E-9	(Overweight)	0.62	1.04	-	[NR]	NRXN3	Obesity	obesity	-	GCST001953	14:79437033	23563607	"Berndt SI"
rs1514174-C	1E-8	(Overweight)	0.44	1.04	-	[NR]	TNNI3K,FPGT-TNNI3K	Obesity	obesity	-	GCST001953	1:74527379	23563607	"Berndt SI"
rs2112347-T	1E-8	(Overweight)	0.63	1.04	-	[NR]	SLC25A5P9,POC5	Obesity	obesity	-	GCST001953	5:75719417	23563607	"Berndt SI"
rs11680012-C	4E-6	(TAT)	0.05	-	"0.581 cm2 increase"	[NR]	LRRFIP1	Adiposity	obesity	-	GCST001583	2:237763782	23505185	"Plourde M"
rs2943650-T	4E-11	-	0.64	-	"0.03 % decrease"	[NR]	NYAP2,MIR5702	Adiposity	obesity	-	GCST001128	2:226241205	21706003	"Kilpeläinen TO"
rs534870-A	7E-8	-	0.68	-	"0.03 % decrease"	[NR]	RNU6-61P,HNRNPA1P31	Adiposity	obesity	-	GCST001128	13:80385072	21706003	"Kilpeläinen TO"
rs8050136-C	3E-26	-	0.60	-	"0.06 % decrease"	[NR]	FTO	Adiposity	obesity	-	GCST001128	16:53782363	21706003	"Kilpeläinen TO"
rs1121980-T	1E-7	" "	0.41	1.66	-	[1.37-2.01]	FTO	"Obesity (early onset extreme)"	obesity	-	GCST000129	16:53775335	18159244	"Hinney A"
rs10508503-C	2E-7	-	0.92	-	-	-	RNU6-1075P,LINC02654	Obesity	obesity	-	GCST000317	10:16257952	19151714	"Meyre D"
rs1421085-C	1E-28	-	0.4	-	-	-	FTO	Obesity	obesity	-	GCST000317	16:53767042	19151714	"Meyre D"
rs1421085-C	7E-18	(children)	0.4	1.39	-	[1.27-1.51]	FTO	Obesity	obesity	-	GCST000317	16:53767042	19151714	"Meyre D"
rs1421085-C	5E-13	(adults)	0.41	1.25	-	[1.10-1.40]	FTO	Obesity	obesity	-	GCST000317	16:53767042	19151714	"Meyre D"
rs1424233-A	4E-13	-	0.43	-	-	-	MAF,LINC01229	Obesity	obesity	-	GCST000317	16:79648854	19151714	"Meyre D"
rs1424233-A	2E-6	(children)	0.43	1.12	-	[1.00-1.24]	MAF,LINC01229	Obesity	obesity	-	GCST000317	16:79648854	19151714	"Meyre D"
rs1424233-A	2E-8	(adults)	0.48	1.39	-	[1.23-1.40]	MAF,LINC01229	Obesity	obesity	-	GCST000317	16:79648854	19151714	"Meyre D"
rs17782313-C	5E-15	-	0.18	-	-	-	RNU4-17P,MC4R	Obesity	obesity	-	GCST000317	18:60183864	19151714	"Meyre D"
rs17782313-C	2E-8	(children)	0.18	1.22	-	[1.05-1.40]	RNU4-17P,MC4R	Obesity	obesity	-	GCST000317	18:60183864	19151714	"Meyre D"
rs17782313-C	4E-9	(adults)	0.24	1.26	-	[1.09-1.43]	RNU4-17P,MC4R	Obesity	obesity	-	GCST000317	18:60183864	19151714	"Meyre D"
rs1805081-A	3E-7	-	0.56	-	-	-	NPC1	Obesity	obesity	-	GCST000317	18:23560468	19151714	"Meyre D"
rs1805081-A	8E-8	(adults)	0.6	1.41	-	[1.19-1.61]	NPC1	Obesity	obesity	-	GCST000317	18:23560468	19151714	"Meyre D"
rs4712652-A	3E-7	(adults)	0.55	1.2	-	[1.02-1.47]	CASC15	Obesity	obesity	-	GCST000317	6:22078386	19151714	"Meyre D"
rs1421085-C	3E-28	-	0.41	1.44	-	[1.35-1.54]	FTO	"Obesity (early onset extreme)"	obesity	-	GCST001957	16:53767042	23563609	"Wheeler E"
rs12463617-C	2E-13	-	0.85	1.42	-	[1.29-1.56]	LINC01875,TMEM18	"Obesity (early onset extreme)"	obesity	-	GCST001957	2:629244	23563609	"Wheeler E"
rs1993709-G	5E-13	-	0.81	1.38	-	[1.26-1.50]	RNU6-1246P,RPL31P12	"Obesity (early onset extreme)"	obesity	-	GCST001957	1:72372846	23563609	"Wheeler E"
rs1957894-T	3E-10	-	0.06	1.5	-	[1.32-1.70]	PRKCH	"Obesity (early onset extreme)"	obesity	-	GCST001957	14:61441393	23563609	"Wheeler E"
rs11208659-C	2E-9	-	0.08	1.42	-	[1.27-1.59]	LEPR	"Obesity (early onset extreme)"	obesity	-	GCST001957	1:65513597	23563609	"Wheeler E"
rs11109072-A	4E-9	-	0.03	1.67	-	[1.41-1.99]	RMST	"Obesity (early onset extreme)"	obesity	-	GCST001957	12:97507492	23563609	"Wheeler E"
rs3101336-C	2E-8	-	0.60	1.21	-	[1.13-1.29]	RPL31P12,NEGR1	"Obesity (early onset extreme)"	obesity	-	GCST001957	1:72285502	23563609	"Wheeler E"
rs16923476-A	1E-7	-	0.02	1.78	-	[1.44-2.20]	KIAA1217,OTUD1	"Obesity (early onset extreme)"	obesity	-	GCST001957	10:23569282	23563609	"Wheeler E"
rs17025867-A	2E-7	-	0.02	1.81	-	[1.45-2.27]	SLC8A1	"Obesity (early onset extreme)"	obesity	-	GCST001957	2:40351419	23563609	"Wheeler E"
rs3782724-G	3E-7	-	0.04	1.47	-	[1.27-171]	SCNN1A	"Obesity (early onset extreme)"	obesity	-	GCST001957	12:6356915	23563609	"Wheeler E"
rs2275848-T	1E-6	-	0.82	1.23	-	[1.13-1.34]	NINJ1	"Obesity (early onset extreme)"	obesity	-	GCST001957	9:93125038	23563609	"Wheeler E"
rs1631486-A	4E-6	-	0.31	1.18	-	[1.10-1.26]	TCF4	"Obesity (early onset extreme)"	obesity	-	GCST001957	18:55359126	23563609	"Wheeler E"
rs12408810-C	9E-6	-	0.87	1.25	-	[1.13-1.38]	MTATP6P14,LINC01677	"Obesity (early onset extreme)"	obesity	-	GCST001957	1:106098321	23563609	"Wheeler E"
rs476828-C	9E-14	-	0.24	1.33	-	[1.23-1.43]	MC4R,RNU4-17P	"Obesity (early onset extreme)"	obesity	-	GCST001957	18:60185354	23563609	"Wheeler E"
rs564343-A	2E-9	-	0.41	1.22	-	[1.15-1.31]	PACS1	"Obesity (early onset extreme)"	obesity	-	GCST001957	11:66127695	23563609	"Wheeler E"
rs1048466-G	8E-8	-	0.72	1.22	-	[1.14-1.32]	CCDC77	"Obesity (early onset extreme)"	obesity	-	GCST001957	12:442384	23563609	"Wheeler E"
rs9328321-A	5E-7	-	0.21	1.22	-	[1.13-1.32]	FARS2	"Obesity (early onset extreme)"	obesity	-	GCST001957	6:5600205	23563609	"Wheeler E"
rs7187365-C	6E-6	-	0.82	1.22	-	[1.12-1.33]	FENDRR	"Obesity (early onset extreme)"	obesity	-	GCST001957	16:86478309	23563609	"Wheeler E"
rs2605100-G	3E-8	"(WHR in women)"	0.692	-	"0.04 z-score unit increase"	[0.03-0.05]	LYPLAL1-AS1,ZC3H11B	Adiposity	obesity	-	GCST000428	1:219470882	19557161	"Lindgren CM"
rs7826222-G	9E-9	(WC)	0.183	-	"0.04 z-score unit increase"	[0.03-0.05]	TTC39B	Adiposity	obesity	-	GCST000428	9:15233290	19557161	"Lindgren CM"
rs987237-G	2E-11	(WC)	0.164	-	"0.04 z-score unit increase"	[0.03-0.05]	TFAP2B	Adiposity	obesity	-	GCST000428	6:50835337	19557161	"Lindgren CM"
rs6429082-C	3E-7	(WC)	0.46	-	-	-	TBCE	Adiposity	obesity	-	GCST000428	1:235436814	19557161	"Lindgren CM"
rs1558902-T	1E-7	-	NR	-	"0.09 unit decrease"	[0.06-0.12]	FTO	Obesity	obesity	-	GCST001046	16:53769662	21544081	"Dorajoo R"
rs9568856-?	2E-9	-	NR	1.215	-	[1.140-1.294]	ZNF646P1,LINC00558	Obesity	obesity	-	GCST001475	13:53490846	22484627	"Bradfield JP"
rs9299-?	4E-9	-	NR	1.144	-	[1.094-1.196]	HOXB5,HOXB-AS3,HOXB3	Obesity	obesity	-	GCST001475	17:48592068	22484627	"Bradfield JP"
rs17697518-?	7E-7	-	NR	1.167	-	[1.098-1.241]	RPL17P45,KC6	Obesity	obesity	-	GCST001475	18:41185695	22484627	"Bradfield JP"
rs4833407-?	1E-6	-	NR	1.111	-	[1.065-1.160]	ALPK1	Obesity	obesity	-	GCST001475	4:112390634	22484627	"Bradfield JP"
rs4864201-?	2E-7	-	NR	1.124	-	[1.076-1.175]	LINC02465	Obesity	obesity	-	GCST001475	4:129810129	22484627	"Bradfield JP"
rs259067-A	1E-6	(BMI)	0.47	-	-	-	LINC01455,CMYA5	Obesity	obesity	-	GCST001732	5:79803175	23818313	"Kim HJ"
rs7784447-A	4E-6	(BMI)	0.11	-	-	-	MDFIC	Obesity	obesity	-	GCST001732	7:114989231	23818313	"Kim HJ"
rs1704198-A	4E-7	(WC)	0.19	-	-	-	RPL31P13,PROX1-AS1	Obesity	obesity	-	GCST001732	1:213737151	23818313	"Kim HJ"
rs12130212-T	2E-6	-	NR	-	-	-	MIR205HG,CAMK1G	"Obesity (extreme)"	obesity	-	GCST001240	1:209553912	21935397	"Paternoster L"
rs734597-A	3E-8	-	NR	-	-	-	RPS17P5,FTH1P5	"Obesity (extreme)"	obesity	-	GCST001240	6:50868566	21935397	"Paternoster L"
rs699363-G	5E-6	-	NR	-	-	-	RGS6	"Obesity (extreme)"	obesity	-	GCST001240	14:72225785	21935397	"Paternoster L"
rs970843-C	5E-6	-	NR	-	-	-	LINC02351	"Obesity (extreme)"	obesity	-	GCST001240	15:98332800	21935397	"Paternoster L"
rs988712-G	5E-17	-	0.75	1.36	-	[1.20-1.55]	BDNF-AS	Obesity	obesity	-	GCST001130	11:27541835	21708048	"Jiao H"
rs2116830-G	3E-10	-	0.80	1.26	-	[1.12-1.41]	KCNMA1	Obesity	obesity	-	GCST001130	10:76886778	21708048	"Jiao H"
rs12073359-?	5E-6	-	NR	1.7	-	(1.4-2.1)	OTUD7B,RPL6P31	"Obesity in adult survivors of childhood cancer not exposed to cranial radiation"	obesity	"childhood cancer"	GCST002904	1:150036820	25963547	"Wilson CL"
rs8050136-A	8E-10	-	NR	1.51	-	[1.37-1.65]	FTO	"Obesity (extreme)"	obesity	-	GCST009673	16:53782363	31852448	"Chiang KM"
rs12925846-?	6E-6	-	NR	1.2820514	-	[1.27-1.29]	RBFOX1	"Obesity (extreme)"	obesity	-	GCST009673	16:6876666	31852448	"Chiang KM"
rs114252547-?	4E-6	-	NR	15.18	-	-	DGKD	Obesity	obesity	-	GCST90274858	2:233402625	37107557	"Kyrgiafini MA"
rs1776012-A	1E-7	-	0.5264	1.3577732	-	[1.24-1.47]	NEGR1	"Obesity (extreme)"	obesity	-	GCST009700	1:72252060	31888951	"Schlauch KA"
rs2173676-T	5E-6	-	0.7348	1.3453517	-	[1.22-1.47]	SERINC5,KRT18P45	"Obesity (extreme)"	obesity	-	GCST009700	5:80282978	31888951	"Schlauch KA"
rs2060457-T	3E-8	-	0.4876	1.379	-	[1.27-1.49]	TDH	"Obesity (extreme)"	obesity	-	GCST009700	8:11355741	31888951	"Schlauch KA"
rs2948300-T	1E-6	-	0.4906	1.325	-	[1.21-1.44]	PRAG1,FAM86B3P	"Obesity (extreme)"	obesity	-	GCST009700	8:8248986	31888951	"Schlauch KA"
rs2953802-A	1E-6	-	0.42	1.318	-	[1.21-1.43]	RPL10P19,ERI1	"Obesity (extreme)"	obesity	-	GCST009700	8:8994371	31888951	"Schlauch KA"
rs435581-G	3E-6	-	0.5481	1.3142331	-	[1.20-1.43]	PPP1R3B-DT	"Obesity (extreme)"	obesity	-	GCST009700	8:9171903	31888951	"Schlauch KA"
rs666595-G	6E-6	-	0.6853	1.3267878	-	[1.20-1.45]	PFKFB3	"Obesity (extreme)"	obesity	-	GCST009700	10:6186263	31888951	"Schlauch KA"
rs2241005-T	7E-6	-	0.5002	1.2873327	-	[1.18-1.40]	KLRB1	"Obesity (extreme)"	obesity	-	GCST009700	12:9595976	31888951	"Schlauch KA"
rs750456-T	6E-6	-	0.739	1.350439	-	[1.22-1.48]	CABP5	"Obesity (extreme)"	obesity	-	GCST009700	19:48039052	31888951	"Schlauch KA"
"rs10954428-?,rs10797020-?"	1E-8	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133703303,1:158520534	31118946	"Jiao H"
rs10954428-?,rs1578761-?	9E-8	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133703303,1:158527782	31118946	"Jiao H"
"rs10954428-?,rs10489833-?"	2E-8	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133703303,1:158520661	31118946	"Jiao H"
"rs10954428-?,rs11264997-?"	3E-8	-	NR	-	-	-	"EXOC4 x OR10R1P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133703303,1:158515692	31118946	"Jiao H"
rs12540206-?,rs1578761-?	1E-9	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158527782	31118946	"Jiao H"
rs12540206-?,rs975118-?	8E-10	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158541655	31118946	"Jiao H"
"rs12540206-?,rs10489833-?"	4E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158520661	31118946	"Jiao H"
"rs12540206-?,rs10797020-?"	1E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158520534	31118946	"Jiao H"
"rs12540206-?,rs11264997-?"	3E-10	-	NR	-	-	-	"EXOC4 x OR10R1P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158515692	31118946	"Jiao H"
rs12540206-?,rs7512592-?	4E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158520155	31118946	"Jiao H"
rs12540206-?,rs1873511-?	1E-9	-	NR	-	-	-	"EXOC4 x OR10R3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158491576	31118946	"Jiao H"
rs12540206-?,rs6697656-?	3E-9	-	NR	-	-	-	"EXOC4 x OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133639814,1:158550947	31118946	"Jiao H"
rs6963221-?,rs1578761-?	3E-9	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158527782	31118946	"Jiao H"
rs6963221-?,rs975118-?	2E-9	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158541655	31118946	"Jiao H"
rs6963221-?,rs10489833-?	9E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158520661	31118946	"Jiao H"
rs6963221-?,rs10797020-?	3E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158520534	31118946	"Jiao H"
rs6963221-?,rs11264997-?	5E-10	-	NR	-	-	-	"EXOC4 x OR10R1P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158515692	31118946	"Jiao H"
rs6963221-?,rs7512592-?	9E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158520155	31118946	"Jiao H"
rs6963221-?,rs6679056-?	9E-9	-	NR	-	-	-	"EXOC4 x OR10R2"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158480524	31118946	"Jiao H"
rs6963221-?,rs1873511-?	2E-9	-	NR	-	-	-	"EXOC4 x OR10R3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158491576	31118946	"Jiao H"
rs6963221-?,rs6697656-?	7E-9	-	NR	-	-	-	"EXOC4 x OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133756033,1:158550947	31118946	"Jiao H"
rs6976491-?,rs1578761-?	2E-9	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158527782	31118946	"Jiao H"
rs6976491-?,rs975118-?	1E-9	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158541655	31118946	"Jiao H"
rs6976491-?,rs10489833-?	7E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158520661	31118946	"Jiao H"
rs6976491-?,rs10797020-?	2E-10	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158520534	31118946	"Jiao H"
rs6976491-?,rs11264997-?	4E-10	-	NR	-	-	-	"EXOC4 x OR10R1P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158515692	31118946	"Jiao H"
rs7512592-?,rs6976491-?	7E-10	-	NR	-	-	-	"OR10R1P - HSP90AA3P x EXOC4"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	1:158520155,7:133716310	31118946	"Jiao H"
rs6976491-?,rs6679056-?	7E-9	-	NR	-	-	-	"EXOC4 x OR10R2"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158480524	31118946	"Jiao H"
rs6976491-?,rs1873511-?	1E-9	-	NR	-	-	-	"EXOC4 x OR10R3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158491576	31118946	"Jiao H"
rs6976491-?,rs6697656-?	5E-9	-	NR	-	-	-	"EXOC4 x OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133716310,1:158550947	31118946	"Jiao H"
rs7800006-?,rs1578761-?	3E-10	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158527782	31118946	"Jiao H"
rs7800006-?,rs975118-?	2E-10	-	NR	-	-	-	"EXOC4 x HSP90AA3P - OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158541655	31118946	"Jiao H"
rs7800006-?,rs10489833-?	9E-11	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158520661	31118946	"Jiao H"
rs7800006-?,rs10797020-?	3E-11	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158520534	31118946	"Jiao H"
rs7800006-?,rs11264997-?	7E-11	-	NR	-	-	-	"EXOC4 x OR10R1P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158515692	31118946	"Jiao H"
rs7800006-?,rs7512592-?	9E-11	-	NR	-	-	-	"EXOC4 x OR10R1P - HSP90AA3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158520155	31118946	"Jiao H"
rs7800006-?,rs6679056-?	2E-9	-	NR	-	-	-	"EXOC4 x OR10R2"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158480524	31118946	"Jiao H"
rs7800006-?,rs1873511-?	2E-10	-	NR	-	-	-	"EXOC4 x OR10R3P"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158491576	31118946	"Jiao H"
rs7800006-?,rs6697656-?	7E-10	-	NR	-	-	-	"EXOC4 x OR6Y1"	"Obesity (extreme) (SNP x SNP interaction)"	obesity	-	GCST007997	7:133653518,1:158550947	31118946	"Jiao H"
rs1421085-C	2E-16	-	0.125	1.18	-	[1.13-1.22]	FTO	Obesity	obesity	-	GCST90093121	16:53767042	34836030	"Park S"
rs16933812-?	9E-9	(TFM)	NR	-	-	-	PAX5	"Obesity-related traits"	"fat body mass,obesity"	-	GCST001288	9:36969208	22013104	"Melka MG"
rs17773430-?	6E-6	(BMI)	NR	-	-	-	MC4R,RNU4-17P	"Obesity-related traits"	"body mass index,obesity"	-	GCST001288	18:60295884	22013104	"Melka MG"
rs16933812-?	5E-6	(BMI)	NR	-	-	-	PAX5	"Obesity-related traits"	"body mass index,obesity"	-	GCST001288	9:36969208	22013104	"Melka MG"
rs7638110-?	5E-8	(BMI)	NR	-	-	-	MRPS22	"Obesity-related traits"	"body mass index,obesity"	-	GCST001288	3:139185143	22013104	"Melka MG"
rs7638110-?	2E-6	(TFM)	NR	-	-	-	MRPS22	"Obesity-related traits"	"fat body mass,obesity"	-	GCST001288	3:139185143	22013104	"Melka MG"
rs4756846-C	5E-7	"(BMI-BMD, males)"	0.12	-	-	-	SOX6	"Obesity and osteoporosis"	obesity,osteoporosis	-	GCST000469	11:16381965	19714249	"Liu YZ"
rs297325-C	4E-7	"(BMI-BMD, males)"	0.23	-	-	-	SOX6	"Obesity and osteoporosis"	obesity,osteoporosis	-	GCST000469	11:16368048	19714249	"Liu YZ"
rs16862964-G	7E-6	-	0.262	2.59	-	[1.71-3.94]	LPP-AS2,LINC01991	"Type 2 diabetes (young onset) and obesity"	"type 2 diabetes mellitus,obesity"	-	GCST002339	3:188074923	24465431	"Ma RC"
rs6595551-G	6E-6	-	0.530	2.63	-	[1.72-4.01]	ZNF608,LINC02240	"Type 2 diabetes (young onset) and obesity"	"type 2 diabetes mellitus,obesity"	-	GCST002339	5:124804202	24465431	"Ma RC"
rs4971486-G	8E-8	-	0.23	1.99	-	(1.54-2.57)	LINC01249,RNU6-649P	"Obesity in adult survivors of childhood cancer exposed to cranial radiation"	"response to radiation,obesity"	"childhood cancer"	GCST002900	2:4847728	25963547	"Wilson CL"
rs12646911-A	1E-6	-	0.78	1.89	-	[1.45-2.44]	GLRA3	"Obesity in adult survivors of childhood cancer exposed to cranial radiation"	"response to radiation,obesity"	"childhood cancer"	GCST002900	4:174701439	25963547	"Wilson CL"
rs140236920-?	1E-7	-	0.46	1.77	-	(1.43-2.20)	SNORD81,RPL36AP21	"Obesity in adult survivors of childhood cancer exposed to cranial radiation"	"response to radiation,obesity"	"childhood cancer"	GCST002900	5:18186318	25963547	"Wilson CL"
rs35669975-C	3E-8	-	0.61	1.92	-	[1.52-2.44]	NALF1,PPIAP24	"Obesity in adult survivors of childhood cancer exposed to cranial radiation"	"response to radiation,obesity"	"childhood cancer"	GCST002900	13:107138053	25963547	"Wilson CL"
rs16917237-T	8E-14	-	NR	1.11	-	-	BDNF-AS,BDNF	"COVID-19 or obesity (pleiotropy)"	COVID-19,obesity	-	GCST90225534	11:27680836	36187959	"Guo H"
rs3136673-T	6E-10	-	NR	1.06	-	-	CCR3	"COVID-19 or obesity (pleiotropy)"	COVID-19,obesity	-	GCST90225534	3:46201124	36187959	"Guo H"
rs7189927-C	6E-10	-	NR	1.07	-	-	ATP2A1	"COVID-19 or obesity (pleiotropy)"	COVID-19,obesity	-	GCST90225534	16:28902466	36187959	"Guo H"
rs1541984-G	7E-10	-	NR	1.07	-	-	ADCY3	"COVID-19 or obesity (pleiotropy)"	COVID-19,obesity	-	GCST90225534	2:24859545	36187959	"Guo H"
rs1766530-A	6E-9	-	NR	1.06	-	-	KLHL32	"COVID-19 or obesity (pleiotropy)"	COVID-19,obesity	-	GCST90225534	6:97128866	36187959	"Guo H"
